Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
,Lo Yue Hin,Hong Kong Club Blue,13.5,54,4,1,3,M4,0.25
,Kracht Stefan,Hong Kong Club Blue,13.5,27,2,1,1,M4,0.5
,Clarke Andrew,Royal Hong Kong Yacht Club M4,13.0,39,3,1,2,M4,0.3333333333333333
,Ho Kwan Lun,Hong Kong Football Club M4B,12.0,48,4,2,2,M4,0.5
,Ku Wai Hang William,United Services Recreation Club M4,12.0,24,2,2,0,M4,1.0
,Martin Timothy,Bolton,12.0,12,1,0,1,M4,0.0
,Adams David,Royal Hong Kong Yacht Club M4,11.25,45,4,1,3,M4,0.25
,Griffiths John David,Hong Kong Cricket Club M4,11.0,33,3,1,2,M4,0.3333333333333333
,Wong Tony Wing Tung,SKCSC M4,10.5,42,4,2,2,M4,0.5
,Baram Derek,Hong Kong Club Blue,10.5,21,2,0,2,M4,0.0
,Somers Jonathan,Bolton,9.0,27,3,2,1,M4,0.6666666666666666
,Lai Herbert Chan Wah,SKCSC M4,9.0,18,2,1,1,M4,0.5
,Siu Andrew Chung Fai,SKCSC M4,9.0,9,1,1,0,M4,1.0
,Sullivan Andrew,Bolton,9.0,9,1,0,1,M4,0.0
,Walsh Paul,Bolton,9.0,9,1,0,1,M4,0.0
