Position,Name of Player,Team,Average Points,Total Game Points,Games Played,Won,Lost,Division,Win Percentage
,Tang May,Hong Kong Football Club M4,0.0,0,1,0,1,M4,0.0
,Williams Gareth,HK Club Blue,0.0,0,1,0,1,M4,0.0
,Veitch Jonathan,Perrier Sergio Tacchini KCC M4,0.0,0,0,0,0,M4,
,Burley Christopher,Bolton,0.0,0,0,0,0,M4,
,Yip Kent Chi Bun,Perrier Sergio Tacchini KCC M4,0.0,0,0,0,0,M4,
,Kam Alex Kwong Fai,Hong Kong Cricket Club Young Masters,0.0,0,0,0,0,M4,
,Young Kenneth Chun Man,Phoenix 1,0.0,0,0,0,0,M4,
,Collins David,HK Club Blue,0.0,0,0,0,0,M4,
,Kwan Edward Ching Cheong,Phoenix 1,0.0,0,0,0,0,M4,
,Koo William Chia Ling,WAKO Masters,0.0,0,0,0,0,M4,
,O'Neill Glenn,Hong Kong Cricket Club Young Masters,0.0,0,0,0,0,M4,
,Deayton Heather,WAKO Masters,0.0,0,0,0,0,M4,
,Ma Sau Hung,The Hong Kong Jockey Club M4,0.0,0,0,0,0,M4,
,Anderson Richard,Perrier Sergio Tacchini KCC M4,0.0,0,0,0,0,M4,
,Wang Benedict,The Hong Kong Jockey Club M4,0.0,0,0,0,0,M4,
,Isler Joachim,HK Club Blue,0.0,0,0,0,0,M4,
,Cassidy Dennis,HK Club Blue,0.0,0,0,0,0,M4,
